verifier,train_auroc,train_ms
alignscore,0.7609397301543805,731.5117862104382
factcg,0.7566340532618144,410.85190046472763
wecheck,0.725982148971073,275.47204645595764
qwen30_judge,0.7245532404379003,666.4190701448135
qwen30_fast,0.7137516719106126,305.8094537874771
granite_guardian_3_1_2b,0.7068933050022179,201.15886554598939
minicheck_ft5,0.6928211178108775,476.02344336658825
granite_guardian_4_1_3b_factuality_lora,0.6738614443174836,486.9738879570012
granite_guardian_3_2_8b_factuality,0.6711852104497358,1196.521642072369
minicheck_dbta,0.6215854975250428,444.9053325595275
granite_guardian_3_2_3b_a800m,0.6209655585451271,228.40727198158874
lettuce_v2,0.6194731954343676,77.71849656780432
factkb,0.606908601330726,47.6687766956107
hhem,0.586936224908268,101.07976279590947
factcc,0.5209083050285191,48.414056301399235
